mid,title,rating,rank,type,genre,rdate,language,cover,description,trailer,released,year
1,Monster,9.11,5,manga,"[""Drama"", ""Mystery""]","Dec  5, 1994 to Dec  20, 2001","[""Japanese""]",https://cdn.myanimelist.net/images/manga/3/54525.jpg,"Kenzou Tenma, a renowned Japanese neurosurgeon working in post-war Germany, faces a difficult choice: to operate on Johan Liebert, an orphan boy on the verge of death, or on the mayor of Düsseldorf. In the end, Tenma decides to gamble his reputation by saving Johan, effectively leaving the mayor for dead.  As a consequence of his actions, hospital director Heinemann strips Tenma of his position, and Heinemann's daughter Eva breaks off their engagement. Disgraced and shunned by his colleagues, Tenma loses all hope of a successful career—that is, until the mysterious killing of Heinemann gives him another chance.  Nine years later, Tenma is the head of the surgical department and close to becoming the director himself. Although all seems well for him at first, he soon becomes entangled in a chain of gruesome murders that have taken place throughout Germany. The culprit is a monster—the same one that Tenma saved on that fateful day nine years ago.  [Written by MAL Rewrite]",Null,TRUE,"Dec  5, 1994 to Dec  20, 2001"
2,Berserk,9.41,1,manga,"[""Action"", ""Adventure"", ""Drama"", ""Fantasy"", ""Horror"", ""Supernatural""]","Aug  25, 1989 to Sep  10, 2021","[""Japanese""]",https://cdn.myanimelist.net/images/manga/1/157897.jpg,"Guts, a former mercenary now known as the ""Black Swordsman,"" is out for revenge. After a tumultuous childhood, he finally finds someone he respects and believes he can trust, only to have everything fall apart when this person takes away everything important to Guts for the purpose of fulfilling his own desires. Now marked for death, Guts becomes condemned to a fate in which he is relentlessly pursued by demonic beings.  Setting out on a dreadful quest riddled with misfortune, Guts, armed with a massive sword and monstrous strength, will let nothing stop him, not even death itself, until he is finally able to take the head of the one who stripped him—and his loved one—of their humanity.  [Written by MAL Rewrite]  Included one-shot: Volume 14: Berserk: The Prototype",Null,TRUE,"Aug  25, 1989 to Sep  10, 2021"
3,20th Century Boys,8.95,13,manga,"[""Drama"", ""Mystery"", ""Sci-Fi""]","Sep  27, 1999 to Apr  24, 2006","[""Japanese""]",https://cdn.myanimelist.net/images/manga/1/54437.jpg,"As the 20th century approaches its end, people all over the world are anxious that the world is changing. And probably not for the better.  Kenji Endo is a normal convenience store manager who's just trying to get by. But when he learns that one of his old friends going by the name ""Donkey"" has suddenly committed suicide, and that a new cult led by a figure known as ""Friend"" is becoming more notorious, Kenji starts to feel that something isn't right. With a few key clues left behind by his deceased friend, Kenji realizes that this cult is much more than he ever thought it would be—not only is this mysterious organization directly targeting him and his childhood friends, but the whole world also faces a grave danger that only the friends have the key to stop.  Kenji's simple life of barely making ends meet is flipped upside down when he reunites with his childhood friends, and together they must figure out the truth of how their past is connected to the cult, as the turn of the century could mean the possible end of the world.  [Written by MAL Rewrite]",Null,TRUE,"Sep  27, 1999 to Apr  24, 2006"
4,Yokohama Kaidashi Kikou,8.72,42,manga,"[""Drama"", ""Sci-Fi"", ""Slice of Life""]","Apr  25, 1994 to Feb  25, 2006","[""Japanese""]",https://cdn.myanimelist.net/images/manga/1/171813.jpg,"In a post-apocalyptic world where an environmental disaster led to the eruption of Mt. Fuji and the inundation of Yokohama, the age of humans is in its twilight. Alpha Hatsuseno is an android and the namesake of a small cafe outside Yokohama. As her owner is away on a trip indefinitely, she has been left responsible for running the cafe. Although she rarely gets any customers, Alpha remains outgoing and cheerful.  While Alpha awaits her owner's homecoming, she explores the vicinity with her scooter and camera. Throughout her journeys, she meets new people and other androids, making memories along the way.  Yokohama Kaidashi Kikou is a beautiful, laid-back story centered around Alpha's daily activities, emphasizing the passing of time in everyday life.  [Written by MAL Rewrite]",Null,TRUE,"Apr  25, 1994 to Feb  25, 2006"
7,Hajime no Ippo,8.67,55,manga,"[""Action"", ""Comedy"", ""Drama"", ""Sports""]","Sep  27, 1989 to ?","[""Japanese""]",https://cdn.myanimelist.net/images/manga/2/250313.jpg,"Makunouchi Ippo is a 16-year-old high school student who helps his mother run the family business. His hefty workload impedes on his social life, making him an easy target for bullies. One day, while being beaten up by a group of high school students, Ippo is saved by a boxer named Mamoru Takamura, and is brought to the Kamogawa Boxing Gym.   This afterschool bullying session turns his life around for the better as Ippo discovers his latent talent for boxing and decides to practice the sport professionally. However, Mamoru doubts Ippo's determination and assigns him a task deemed impossible to complete, but the resolute Ippo trains tirelessly to fulfill his mission. Along the way, he finds out what it means to attain true strength while making new friends and fighting formidable foes.  [Written by MAL Rewrite]",Null,TRUE,"Sep  27, 1989 to ?"
8,Full Moon wo Sagashite,8.06,568,manga,"[""Comedy"", ""Drama"", ""Fantasy"", ""Romance"", ""Supernatural""]","Dec  1, 2001 to Apr  30, 2004","[""Japanese""]",https://cdn.myanimelist.net/images/manga/3/175970.jpg,"At the tender age of twelve, Mitsuki Kouyama has a sarcoma in her throat. Though this rare cancer can be cured by removing her vocal cords, Mitsuki refuses because of her desire to become a pop singer and keep her childhood promise to Eichi Sakurai, her first love who left for America. Unable to both heal and keep her voice, she allows her health to deteriorate as she accepts her tragic fate.  One day, while escaping the home of her music-hating grandmother to attend an audition, Mitsuki meets two shinigami Takuto Kira and Meroko Yui. Realizing that Mitsuki can see them, Takuto and Meroko reveal to her that she will die in a year. Moved by her plight, Takuto allows Mitsuki the chance to pursue her dream by giving her the ability to transform into a healthy sixteen-year-old girl. After being chosen for a contract with Seed Records, Mitsuki makes her debut under the stage name Full Moon and chooses to pursue her dream music career before her life's end.  [Written by MAL Rewrite]   Included one-shot: Volume 2: Ginyuu Meika",Null,TRUE,"Dec  1, 2001 to Apr  30, 2004"
9,Tsubasa: RESERVoir CHRoNiCLE,8.32,240,manga,"[""Action"", ""Adventure"", ""Drama"", ""Fantasy""]","May  21, 2003 to Oct  7, 2009","[""Japanese""]",https://cdn.myanimelist.net/images/manga/2/27076.jpg,"Warmhearted Syaoran has always been friends with Sakura—the princess of the Clow Kingdom who holds an extraordinary power capable of changing the world. When a mysterious man attempts to monopolize Sakura's ability, her memories scatter throughout different worlds in the form of feathers. To save Sakura, Syaoran seeks help from the Dimensional Witch and meets two other travelers—Kurogane and Fai D. Flourite.  Kurogane, a capable fighter and ninja, has been banished from his homeworld and wishes to return. In contrast, Fai, a magician from Celes, wants to traverse different worlds to avoid his home and past. As the price to cross dimensions, each of the three must sacrifice their most valued possession. For Sakura's sake, Syaoran agrees to give away their relationship as payment to the Dimensional Witch. And with firm determination, Syaoran, Kurogane, and Fai begin journeying through numerous worlds to fight against their ill-fated destinies.  [Written by MAL Rewrite]",Null,TRUE,"May  21, 2003 to Oct  7, 2009"
11,Naruto,8.06,569,manga,"[""Action"", ""Adventure""]","Sep  21, 1999 to Nov  10, 2014","[""Japanese""]",https://cdn.myanimelist.net/images/manga/3/117681.jpg,"Whenever Naruto Uzumaki proclaims that he will someday become the Hokage—a title bestowed upon the best ninja in the Village Hidden in the Leaves—no one takes him seriously. Since birth, Naruto has been shunned and ridiculed by his fellow villagers. But their contempt isn't because Naruto is loud-mouthed, mischievous, or because of his ineptitude in the ninja arts, but because there is a demon inside him. Prior to Naruto's birth, the powerful and deadly Nine-Tailed Fox attacked the village. In order to stop the rampage, the Fourth Hokage sacrificed his life to seal the demon inside the body of the newborn Naruto.  And so when he is assigned to Team 7—along with his new teammates Sasuke Uchiha and Sakura Haruno, under the mentorship of veteran ninja Kakashi Hatake—Naruto is forced to work together with other people for the first time in his life. Through undergoing vigorous training and taking on challenging missions, Naruto must learn what it means to work in a team and carve his own route toward becoming a full-fledged ninja recognized by his village.  [Written by MAL Rewrite]",Null,TRUE,"Sep  21, 1999 to Nov  10, 2014"
12,Bleach,7.71,1466,manga,"[""Action"", ""Adventure"", ""Supernatural""]","Aug  7, 2001 to Aug  22, 2016","[""Japanese""]",https://cdn.myanimelist.net/images/manga/2/180089.jpg,"For as long as he can remember, high school student Ichigo Kurosaki has been able to see the spirits of the dead, but that has not stopped him from leading an ordinary life. One day, Ichigo returns home to find an intruder in his room who introduces herself as Rukia Kuchiki, a Soul Reaper tasked with helping souls pass over. Suddenly, the two are jolted from their conversation when a Hollow—an evil spirit known for consuming souls—attacks. As Ichigo makes a brash attempt to stop the Hollow, Rukia steps in and shields him from a counterattack. Injured and unable to keep fighting, Rukia suggests a risky plan—transfer half of her Soul Reaper powers to Ichigo. He accepts and, to Rukia's surprise, ends up absorbing her powers entirely, allowing him to easily dispatch the Hollow.  Now a Soul Reaper himself, Ichigo must take up Rukia's duties of exterminating Hollows and protecting spirits, both living and dead. Along with his friends Orihime Inoue and Yasutora Sado—who later discover spiritual abilities of their own—Ichigo soon learns that the consequences of becoming a Soul Reaper and dealing with the world of spirits are far greater than he ever imagined.  [Written by MAL Rewrite]",Null,TRUE,"Aug  7, 2001 to Aug  22, 2016"
13,One Piece,9.17,3,manga,"[""Action"", ""Adventure"", ""Comedy"", ""Fantasy""]","Jul  22, 1997 to ?","[""Japanese""]",https://cdn.myanimelist.net/images/manga/3/55539.jpg,"Gol D. Roger, a man referred to as the ""Pirate King,"" is set to be executed by the World Government. But just before his demise, he confirms the existence of a great treasure, One Piece, located somewhere within the vast ocean known as the Grand Line. Announcing that One Piece can be claimed by anyone worthy enough to reach it, the Pirate King is executed and the Great Age of Pirates begins.  Twenty-two years later, a young man by the name of Monkey D. Luffy is ready to embark on his own adventure, searching for One Piece and striving to become the new Pirate King. Armed with just a straw hat, a small boat, and an elastic body, he sets out on a fantastic journey to gather his own crew and a worthy ship that will take them across the Grand Line to claim the greatest status on the high seas.  [Written by MAL Rewrite]",Null,TRUE,"Jul  22, 1997 to ?"
