mid,title,rating,ranking,type,genre,rdate,language,cover,description,trailer,released,year
111161,The Shawshank Redemption,9.3,1,movie,"[""Drama""]",14 Oct 1994 (India),"[""English""]",https://m.media-amazon.com/images/M/MV5BMDFkYTc0MGEtZmNhMC00ZDIzLWFmNTEtODM1ZmRlYWMwMWFmXkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",Null,TRUE,1994
68646,The Godfather,9.2,2,movie,"[""Crime"", ""Drama""]",1978 (India),"[""English"", ""Italian"", ""Latin""]",https://m.media-amazon.com/images/M/MV5BM2MyNjYxNmUtYTAwNi00MTYxLWJmNWYtYzZlODY3ZTk3OTFlXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,The Godfather follows Vito Corleone Don of the Corleone family as he passes the mantel to his son Michael,https://www.youtube.com/watch?v=sY1S34973zA,TRUE,1978
71562,The Godfather: Part II,9,3,movie,"[""Crime"", ""Drama""]",1979 (India),"[""English"", ""Italian"", ""Spanish"", ""Latin"", ""Sicilian""]",https://m.media-amazon.com/images/M/MV5BMWMwMGQzZTItY2JlNC00OWZiLWIyMDctNDk2ZDQ2YjRjMWQ0XkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",Null,TRUE,1979
468569,The Dark Knight,9,4,movie,"[""Action"", ""Crime"", ""Drama"", ""Thriller""]",18 Jul 2008 (India),"[""English"", ""Mandarin""]",https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@.jpg,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",https://www.youtube.com/watch?v=EXeTwQWrcwY,TRUE,2008
50083,12 Angry Men,9,5,movie,"[""Crime"", ""Drama""]",10 Apr 1957 (USA),"[""English""]",https://m.media-amazon.com/images/M/MV5BMWU4N2FjNzYtNTVkNC00NzQ0LTg0MjAtYTJlMjFhNGUxZDFmXkEyXkFqcGdeQXVyNjc1NTYyMjg@.jpg,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,Null,TRUE,1957
108052,Schindler's List,8.9,6,movie,"[""Biography"", ""Drama"", ""History""]",15 Dec 1993 (India),"[""English"", ""Hebrew"", ""German"", ""Polish"", ""Latin""]",https://m.media-amazon.com/images/M/MV5BNDE4OTMxMTctNmRhYy00NWE2LTg3YzItYTk3M2UwOTU5Njg4XkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",https://www.youtube.com/watch?v=mxphAlJID9U,TRUE,1993
167260,The Lord of the Rings: The Return of the King,8.9,7,movie,"[""Action"", ""Adventure"", ""Drama"", ""Fantasy""]",06 Feb 2004 (India),"[""English"", ""Quenya"", ""Old English"", ""Sindarin""]",https://m.media-amazon.com/images/M/MV5BNzA5ZDNlZWMtM2NhNS00NDJjLTk4NDItYTRmY2EwMWZlMTY3XkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Null,TRUE,2004
110912,Pulp Fiction,8.9,8,movie,"[""Crime"", ""Drama""]",10 Sep 1994 (South Korea),"[""English"", ""Spanish"", ""French""]",https://m.media-amazon.com/images/M/MV5BNGNhMDIzZTUtNTBlZi00MTRlLWFjM2ItYzViMjE3YzI5MjljXkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",https://www.youtube.com/watch?v=s7EdQ4FqbhY,TRUE,1994
60196,"The Good, the Bad and the Ugly",8.8,9,movie,"[""Adventure"", ""Western""]",15 Apr 1969 (India),"[""Italian""]",https://m.media-amazon.com/images/M/MV5BOTQ5NDI3MTI4MF5BMl5BanBnXkFtZTgwNDQ4ODE5MDE@.jpg,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,https://www.youtube.com/watch?v=WCN5JJY_wiA,TRUE,1969
120737,The Lord of the Rings: The Fellowship of the Ring,8.8,10,movie,"[""Action"", ""Adventure"", ""Drama"", ""Fantasy""]",15 Mar 2002 (India),"[""English"", ""Sindarin""]",https://m.media-amazon.com/images/M/MV5BN2EyZjM3NzUtNWUzMi00MTgxLWI0NTctMzY4M2VlOTdjZWRiXkEyXkFqcGdeQXVyNDUzOTQ5MjY@.jpg,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,Null,TRUE,2002
