mid,title,rating,ranking,type,genre,rdate,language,cover,description,trailer,released,year
5491994,Planet Earth II,9.5,1,tv series,"[""Documentary""]",2016-2016,"[""English"", ""French""]",https://m.media-amazon.com/images/M/MV5BZWYxODViMGYtMGE2ZC00ZGQ3LThhMWUtYTVkNGE3OWU4NWRkL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMjYwNDA2MDE@.jpg,David Attenborough returns with a new wildlife documentary that shows life in a variety of habitats.,Null,TRUE,2016
795176,Planet Earth,9.4,2,tv series,"[""Documentary""]",2006-2006,"[""English""]",https://m.media-amazon.com/images/M/MV5BNmZlYzIzMTItY2EzYS00YTEyLTg0ZjEtMDMzZjM3ODdhN2UzXkEyXkFqcGdeQXVyNjI0MDg2NzE@.jpg,"Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.",Null,TRUE,2006
903747,Breaking Bad,9.4,3,tv series,"[""Crime"", ""Drama"", ""Thriller""]",2008-2013,"[""English"", ""Spanish""]",https://m.media-amazon.com/images/M/MV5BMjhiMzgxZTctNDc1Ni00OTIxLTlhMTYtZTA3ZWFkODRkNmE2XkEyXkFqcGdeQXVyNzkwMjQ5NzM@.jpg,A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,https://www.youtube.com/watch?v=Yhjs8B_Wxl8,TRUE,2008
185906,Band of Brothers,9.4,4,tv series,"[""Drama"", ""History"", ""War""]",2001-2001,"[""English"", ""Dutch"", ""French"", ""German"", ""Lithuanian""]",https://m.media-amazon.com/images/M/MV5BMTI3ODc2ODc0M15BMl5BanBnXkFtZTYwMjgzNjc3.jpg,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",Null,TRUE,2001
7366338,Chernobyl,9.4,5,tv series,"[""Drama"", ""History"", ""Thriller""]",2019-2019,"[""English"", ""Russian"", ""Ukrainian""]",https://m.media-amazon.com/images/M/MV5BZGQ2YmMxZmEtYjI5OS00NzlkLTlkNTEtYWMyMzkyMzc2MDU5XkEyXkFqcGdeQXVyMzQ2MDI5NjU@.jpg,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.",Null,TRUE,2019
306414,The Wire,9.3,6,tv series,"[""Crime"", ""Drama"", ""Thriller""]",2002-2008,"[""English"", ""Greek"", ""Mandarin"", ""Spanish""]",https://m.media-amazon.com/images/M/MV5BNTllYzFhMjAtZjExNS00MjM4LWE5YmMtOGFiZGRlOTU5YzJiXkEyXkFqcGdeQXVyNDIzMzcwNjc@.jpg,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",Null,TRUE,2002
6769208,Blue Planet II,9.3,7,tv series,"[""Documentary""]",2017-2017,"[""English""]",https://m.media-amazon.com/images/M/MV5BYjg2ODk0MjUtNmMzZS00MjY0LWI1YWMtN2JhMjRmZGUwY2I3XkEyXkFqcGdeQXVyMTMxODk2OTU@.jpg,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.",Null,TRUE,2017
9253866,Our Planet,9.3,8,tv series,"[""Documentary""]",2019-2019,"[""English""]",https://m.media-amazon.com/images/M/MV5BN2I1ZjA5YjQtYmQ0ZS00ZmE1LTk1ZjktNTQ5ODIzY2JiZDdhXkEyXkFqcGdeQXVyNjg2NjQwMDQ@.jpg,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.",Null,TRUE,2019
2395695,Cosmos: A Spacetime Odyssey,9.3,9,tv series,"[""Documentary""]",2014-2014,"[""English""]",https://m.media-amazon.com/images/M/MV5BZTk5OTQyZjYtMDk3Yy00YjhmLWE2MTYtZmY4NTg1YWUzZTQ0XkEyXkFqcGdeQXVyNTA4NzY1MzY@.jpg,An exploration of our discovery of the laws of nature and coordinates in space and time.,Null,TRUE,2014
417299,Avatar: The Last Airbender,9.3,10,tv series,"[""Animation"", ""Action"", ""Adventure"", ""Family"", ""Fantasy"", ""Mystery""]",2005-2008,"[""English""]",https://m.media-amazon.com/images/M/MV5BODc5YTBhMTItMjhkNi00ZTIxLWI0YjAtNTZmOTY0YjRlZGQ0XkEyXkFqcGdeQXVyODUwNjEzMzg@.jpg,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",Null,TRUE,2005
